,Tweets,date,source,likes,retweet,image_url,sentiment
0,NEW: Potential Tropical Cyclone Fourteen triggers # tropical storm warnings and watches in Cuba and Mexico. This system will be a U.S. Gulf Coast threat next week: https://wxch.nl/2y3u1ac pic.twitter.com/qCqjyD6VnI,2018-10-06 17:40:10,https://twitter.com/weatherchannel/status/1048689395749085185,214,146,https://pbs.twimg.com/media/Do2xOHsX4AE90B-.jpg,1
1,Watch as a weather balloon climbs to the stratosphere! Join @ LisiNearSpace and @ DanielleBanksTV on The Weather Channel app at 5pm.,2018-10-06 16:37:40,https://twitter.com/weatherchannel/status/1048673669730455552,42,12,,0
2,# Invest91L will likely develop into a # tropical depression or storm Sunday or Monday in the northwestern Caribbean Sea or southern Gulf of Mexico: https://wxch.nl/2NsfoSu pic.twitter.com/JyVMOO6KlF,2018-10-06 15:16:40,https://twitter.com/weatherchannel/status/1048653282699300864,117,70,https://pbs.twimg.com/media/Do2QZGnXsAAEzq6.jpg,0
3,NEW: # Severe thunderstorm watch issued for eastern Illinois and northern Indiana until 10 p.m. EDT.pic.twitter.com/YDlkLe2nW7,2018-10-06 14:59:38,https://twitter.com/weatherchannel/status/1048648998414893057,29,12,https://pbs.twimg.com/media/Do2MtNaXUAEB16u.jpg,1
4,"# Tropical cyclone is likely to form in the Arabian Sea this weekend and track towards Oman, Yemen next week: https://wxch.nl/2EbkCCC pic.twitter.com/vWaMvcAfM8",2018-10-06 13:51:00,https://twitter.com/weatherchannel/status/1048631724027011072,89,54,https://pbs.twimg.com/media/Do15CxxU8AAqurs.jpg,0
5,". @ kericak from @ southfriedtruth is excited about our new show Storm of Suspicion premiering Sunday 8/7c! If you like crime shows and weather, you'll love it!pic.twitter.com/3NUKekWr4m",2018-10-06 12:00:01,https://twitter.com/weatherchannel/status/1048603797059244033,24,5,https://pbs.twimg.com/media/Doxb9omXkAYjEP_.jpg,1
6,Hurricane # Sergio is expected to make a sharp U-turn toward Baja California next week and may increase moisture into the Southwest: https://wxch.nl/2OFyXLF pic.twitter.com/4BvPSKYhbb,2018-10-06 11:24:00,https://twitter.com/weatherchannel/status/1048594730366324737,125,70,https://pbs.twimg.com/media/Do1UXjgV4AU0hzg.jpg,-1
7,Who are you rooting for today? # CollegeFootballhttps://twitter.com/AMHQ/status/1048583028963004416 …,2018-10-06 10:39:07,https://twitter.com/weatherchannel/status/1048583434518634496,33,11,,0
8,"First widespread heavy # snow of the season is expected this weekend into next week in parts of the Rockies, Plains: https://wxch.nl/2DZOdyQ pic.twitter.com/6WLIRfeyj8",2018-10-06 09:57:00,https://twitter.com/weatherchannel/status/1048572836212867072,128,69,https://pbs.twimg.com/media/Do0tw4lXkAImPrw.jpg,-1
9,Heavy rain will bring the threat of flash # flooding and river flooding to parts of Plains and Upper Midwest into next week: https://wxch.nl/2BXVAV8 pic.twitter.com/fMboGDP5uY,2018-10-06 09:09:00,https://twitter.com/weatherchannel/status/1048560756763947008,69,39,https://pbs.twimg.com/media/Do0tT0mX0AUv7SG.jpg,-1
10,# Tropical depression or tropical storm will likely form by early next week in the Gulf of Mexico or western Caribbean Sea: https://wxch.nl/2PnxYNe pic.twitter.com/2eC1lj1ABN,2018-10-06 08:21:00,https://twitter.com/weatherchannel/status/1048548677034237952,145,104,https://pbs.twimg.com/media/Do0s01dXoAEexXW.jpg,1
11,Heavy # rain will bring a threat of flash # flooding and river flooding to the Plains and upper Midwest this weekend into next week: https://wxch.nl/2QymYgb pic.twitter.com/o3yyS3rz6g,2018-10-05 19:33:00,https://twitter.com/weatherchannel/status/1048355403388469248,108,59,https://pbs.twimg.com/media/Dox0_0HX4AABsdk.jpg,-1
12,The first widespread # snowstorm of the fall is expected this weekend into early next week in the Rockies and High Plains: https://wxch.nl/2pEpl5N pic.twitter.com/VNKlH9Ucxj,2018-10-05 18:33:39,https://twitter.com/weatherchannel/status/1048340466482257921,127,53,https://pbs.twimg.com/media/Doxz5FdX4AASHoL.jpg,1
13,"From # severe thunderstorms to # snow in one hour? Yes, it happened Thursday morning in western Colorado: https://wxch.nl/2CsuCpJ (Photo: @ NWSGJT)pic.twitter.com/MV9m4M45ft",2018-10-05 16:55:35,https://twitter.com/weatherchannel/status/1048315790569754624,176,41,https://pbs.twimg.com/media/DoxdTdRWwAMHebb.jpg,0
14,Where and when did you take this? Can we at http://Weather.com have permission to feature your post? Verify using the hashtag # yesweather. Terms:https://weather.com/en-US/twc/privacy-policy …,2018-10-05 16:10:52,https://twitter.com/weatherchannel/status/1048304535880564736,0,0,,0
15,"The National Weather Service has confirmed a 14th # tornado in Pennsylvania from Tuesday's outbreak, bringing the total across Pennsylvania, New York and Connecticut to 19: https://wxch.nl/2EcXOTp pic.twitter.com/PuVm46ObkW",2018-10-05 15:34:10,https://twitter.com/weatherchannel/status/1048295298634854401,87,64,https://pbs.twimg.com/media/DoxKur9W4AAy6iC.jpg,1
16,A disturbance in the western Caribbean Sea has been assigned a high chance of # tropical development late this weekend or early next week as it heads toward the Gulf of Mexico: https://wxch.nl/2E0K0uX pic.twitter.com/zDML9HLtom,2018-10-05 14:49:18,https://twitter.com/weatherchannel/status/1048284010139533312,77,50,https://pbs.twimg.com/media/DoxAXsrXgAIOBI_.jpg,-1
17,"Where and when did you take this? Could we at http://Weather.com feature your post on our platforms? If so, verify by responding with the hashtag # yesweather. View terms at https://weather.com/en-US/twc/privacy-policy ….",2018-10-05 11:59:11,https://twitter.com/weatherchannel/status/1048241197402214401,0,0,,0
18,Thanks for joining us!,2018-10-05 10:43:20,https://twitter.com/weatherchannel/status/1048222108457865216,1,0,,1
19,"# Winter storm watches posted in the High Plains for what could be a prolonged heavy # snow event beginning this weekend, lasting into at least the first half of next week. https://wxch.nl/2zToTqf pic.twitter.com/rK7vos2Ne4",2018-10-05 10:31:00,https://twitter.com/weatherchannel/status/1048219005117448194,132,77,https://pbs.twimg.com/media/DowB_utU4AAn-tX.jpg,-1
20,"Up to 3"" of wet # snow weighed down tree branches nad lead to slushy roads this morning in the nation's frequent cold spot, Embarrass, MN. Thanks to FB friend Bonnie Vergoth for sharing that with us. # mnwxpic.twitter.com/wk0D05aPOK",2018-10-05 10:09:35,https://twitter.com/weatherchannel/status/1048213614572818433,159,56,https://pbs.twimg.com/media/DowAtrzUYAAq0JD.jpg,-1
21,"We'd love to feature this on our platforms! When and where did you take this? To give http://Weather.com permission, respond with # yesweather. View the terms here:https://weather.com/en-US/twc/privacy-policy …",2018-10-05 08:40:24,https://twitter.com/weatherchannel/status/1048191170009092096,1,0,,1
22,"Where and when did you take this? May http://Weather.com have permission to feature it on our platforms? To verify, respond with # yesweather. Check out the terms at https://weather.com/en-US/twc/privacy-policy …",2018-10-05 08:33:26,https://twitter.com/weatherchannel/status/1048189419176566784,0,0,,0
23,", we'd love to feature your post on http://Weather.com ! Where and when did you take it? To let us know if we have your permission, respond using the hashtag # yesweather. https://weather.com/en-US/twc/privacy-policy …",2018-10-05 08:31:34,https://twitter.com/weatherchannel/status/1048188947766108160,2,0,,1
24,", would you be willing to let http://Weather.com feature your post? Where and when was this taken? Verify by responding with the hashtag # yesweather. Terms: https://weather.com/en-US/twc/privacy-policy …",2018-10-05 08:29:51,https://twitter.com/weatherchannel/status/1048188518684610560,1,0,,1
25,"Where and when did you take this? May http://Weather.com have permission to feature it on our platforms? To verify, respond with # yesweather. Check out the terms at https://weather.com/en-US/twc/privacy-policy …",2018-10-05 08:29:20,https://twitter.com/weatherchannel/status/1048188388917035008,1,0,,0
26,"# Tropical development is increasingly possible by early next week in the W. Caribbean or Gulf of Mexico. One threat is in play, regardless of development. https://wxch.nl/2QtYzZe pic.twitter.com/yaztrTAaZr",2018-10-05 08:16:53,https://twitter.com/weatherchannel/status/1048185255432208384,95,50,https://pbs.twimg.com/media/Dovm3qjX0AA1nTA.jpg,1
