,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,class,percentile,percent_median,percent_mean,url
0,2110400,"BUCK CREEK NEAR LONGS, SC",33.9535,-78.7197,3040206,EST,96.5,cfs,2019-03-06 09:15:00,7.45,ft,2019-03-06 09:15:00,0,88.89,293.31,212.79,https://waterdata.usgs.gov/sc/nwis/uv?site_no=02110400
1,2110500,"WACCAMAW RIVER NEAR LONGS, SC",33.9127,-78.715,3040206,EST,979,cfs,2019-03-06 08:45:00,8.17,ft,2019-03-06 08:45:00,4,22.38,53.5,42.2,https://waterdata.usgs.gov/sc/nwis/uv?site_no=02110500
2,2110550,"WACCAMAW RIVER ABOVE CONWAY, SC",33.8508,-78.8972,3040206,EST,1050,cfs,2019-03-06 09:15:00,4.86,ft,2019-03-06 09:30:00,0,25.65,40.54,42.49,https://waterdata.usgs.gov/sc/nwis/uv?site_no=02110550
3,2110701,"CRABTREE SWAMP AT CONWAY, SC",33.861,-79.0411,3040206,EST,30.1,cfs,2019-03-06 09:00:00,13.34,ft,2019-03-06 09:00:00,0,46.62,82.92,89.88,https://waterdata.usgs.gov/sc/nwis/uv?site_no=02110701
4,2110704,"WACCAMAW RIVER AT CONWAY MARINA AT CONWAY, SC",33.8329,-79.0436,3040206,EST,1180,cfs,2019-03-06 09:15:00,9.98,ft,2019-03-06 09:15:00,0,17.64,53.15,45.75,https://waterdata.usgs.gov/sc/nwis/uv?site_no=02110704
5,2110725,"AIW AT HIGHWAY 544 AT SOCASTEE, SC",33.6871,-79.0048,3040206,EST,0,,0000-00-00 00:00:00,14.39,ft,2019-03-06 09:30:00,0,0.0,,,https://waterdata.usgs.gov/sc/nwis/uv?site_no=02110725
6,2110760,"AIW @ MYRTLEWOOD GOLF COURSE @ MYRTLE BEACH, SC",33.7407,-78.8667,3040207,EST,3460,cfs,2009-09-30 23:45:00,0,,0000-00-00 00:00:00,0,88.89,384.44,339.47,https://waterdata.usgs.gov/sc/nwis/uv?site_no=02110760
7,2110777,"AIW AT HIGHWAY 9 AT NIXONS CROSSROADS, SC",33.8516,-78.6558,3040207,EST,2900,cfs,2000-09-30 23:45:00,15.68,ft,2019-03-06 09:15:00,0,74.28,154.26,136.56,https://waterdata.usgs.gov/sc/nwis/uv?site_no=02110777
8,2110802,"WACCAMAW RIVER AT BUCKSPORT, SC",33.6491,-79.0942,3040206,EST,0,,0000-00-00 00:00:00,18.97,ft,2019-03-06 09:15:00,0,0.0,,,https://waterdata.usgs.gov/sc/nwis/uv?site_no=02110802
9,2110815,"WACCAMAW R NR HAGLEY LAND. NR PAWLEYS ISLAND, SC",33.4446,-79.1739,3040206,EST,60600,cfs,2000-09-26 00:45:00,18.38,ft,2019-03-06 09:15:00,0,90.91,292.75,265.09,https://waterdata.usgs.gov/sc/nwis/uv?site_no=02110815
