agency_cd,site_no,datetime,tz_cd,177234_00065,177234_00065_cd
5s,15s,20d,6s,14n,10s
USGS,02169500,2019-03-01 00:00,EST,6.83,P
USGS,02169500,2019-03-01 00:15,EST,6.88,P
USGS,02169500,2019-03-01 00:30,EST,6.92,P
USGS,02169500,2019-03-01 00:45,EST,6.95,P
USGS,02169500,2019-03-01 01:00,EST,6.99,P
USGS,02169500,2019-03-01 01:15,EST,7.02,P
USGS,02169500,2019-03-01 01:30,EST,7.05,P
USGS,02169500,2019-03-01 01:45,EST,7.08,P
USGS,02169500,2019-03-01 02:00,EST,7.10,P
USGS,02169500,2019-03-01 02:15,EST,7.13,P
USGS,02169500,2019-03-01 02:30,EST,7.14,P
USGS,02169500,2019-03-01 02:45,EST,7.16,P
USGS,02169500,2019-03-01 03:00,EST,7.17,P
USGS,02169500,2019-03-01 03:15,EST,7.18,P
USGS,02169500,2019-03-01 03:30,EST,7.18,P
USGS,02169500,2019-03-01 03:45,EST,7.17,P
USGS,02169500,2019-03-01 04:00,EST,7.15,P
USGS,02169500,2019-03-01 04:15,EST,7.12,P
USGS,02169500,2019-03-01 04:30,EST,7.09,P
USGS,02169500,2019-03-01 04:45,EST,7.04,P
USGS,02169500,2019-03-01 05:00,EST,6.99,P
USGS,02169500,2019-03-01 05:15,EST,6.93,P
USGS,02169500,2019-03-01 05:30,EST,6.86,P
USGS,02169500,2019-03-01 05:45,EST,6.78,P
USGS,02169500,2019-03-01 06:00,EST,6.70,P
USGS,02169500,2019-03-01 06:15,EST,6.61,P
USGS,02169500,2019-03-01 06:30,EST,6.52,P
USGS,02169500,2019-03-01 06:45,EST,6.42,P
USGS,02169500,2019-03-01 07:00,EST,6.32,P
USGS,02169500,2019-03-01 07:15,EST,6.23,P
USGS,02169500,2019-03-01 07:30,EST,6.13,P
USGS,02169500,2019-03-01 07:45,EST,6.03,P
USGS,02169500,2019-03-01 08:00,EST,5.94,P
USGS,02169500,2019-03-01 08:15,EST,5.85,P
USGS,02169500,2019-03-01 08:30,EST,5.76,P
USGS,02169500,2019-03-01 08:45,EST,5.67,P
USGS,02169500,2019-03-01 09:00,EST,5.59,P
USGS,02169500,2019-03-01 09:15,EST,5.50,P
USGS,02169500,2019-03-01 09:30,EST,5.42,P
USGS,02169500,2019-03-01 09:45,EST,5.34,P
USGS,02169500,2019-03-01 10:00,EST,5.27,P
USGS,02169500,2019-03-01 10:15,EST,5.19,P
USGS,02169500,2019-03-01 10:30,EST,5.14,P
USGS,02169500,2019-03-01 10:45,EST,5.08,P
USGS,02169500,2019-03-01 11:00,EST,5.01,P
USGS,02169500,2019-03-01 11:15,EST,4.95,P
USGS,02169500,2019-03-01 11:30,EST,4.89,P
USGS,02169500,2019-03-01 11:45,EST,4.85,P
USGS,02169500,2019-03-01 12:00,EST,4.82,P
USGS,02169500,2019-03-01 12:15,EST,4.83,P
USGS,02169500,2019-03-01 12:30,EST,4.89,P
USGS,02169500,2019-03-01 12:45,EST,5.01,P
USGS,02169500,2019-03-01 13:00,EST,5.19,P
USGS,02169500,2019-03-01 13:15,EST,5.43,P
USGS,02169500,2019-03-01 13:30,EST,5.72,P
USGS,02169500,2019-03-01 13:45,EST,6.02,P
USGS,02169500,2019-03-01 14:00,EST,6.32,P
USGS,02169500,2019-03-01 14:15,EST,6.58,P
USGS,02169500,2019-03-01 14:30,EST,6.81,P
USGS,02169500,2019-03-01 14:45,EST,7.07,P
USGS,02169500,2019-03-01 15:00,EST,7.31,P
USGS,02169500,2019-03-01 15:15,EST,7.42,P
USGS,02169500,2019-03-01 15:30,EST,7.48,P
USGS,02169500,2019-03-01 15:45,EST,7.55,P
USGS,02169500,2019-03-01 16:00,EST,7.62,P
USGS,02169500,2019-03-01 16:15,EST,7.68,P
USGS,02169500,2019-03-01 16:30,EST,7.74,P
USGS,02169500,2019-03-01 16:45,EST,7.77,P
USGS,02169500,2019-03-01 17:00,EST,7.80,P
USGS,02169500,2019-03-01 17:15,EST,7.81,P
USGS,02169500,2019-03-01 17:30,EST,7.80,P
USGS,02169500,2019-03-01 17:45,EST,7.79,P
USGS,02169500,2019-03-01 18:00,EST,7.78,P
USGS,02169500,2019-03-01 18:15,EST,7.75,P
USGS,02169500,2019-03-01 18:30,EST,7.73,P
USGS,02169500,2019-03-01 18:45,EST,7.70,P
USGS,02169500,2019-03-01 19:00,EST,7.66,P
USGS,02169500,2019-03-01 19:15,EST,7.61,P
USGS,02169500,2019-03-01 19:30,EST,7.57,P
USGS,02169500,2019-03-01 19:45,EST,7.51,P
USGS,02169500,2019-03-01 20:00,EST,7.45,P
USGS,02169500,2019-03-01 20:15,EST,7.39,P
USGS,02169500,2019-03-01 20:30,EST,7.33,P
USGS,02169500,2019-03-01 20:45,EST,7.28,P
USGS,02169500,2019-03-01 21:00,EST,7.25,P
USGS,02169500,2019-03-01 21:15,EST,7.25,P
USGS,02169500,2019-03-01 21:30,EST,7.21,P
USGS,02169500,2019-03-01 21:45,EST,7.18,P
USGS,02169500,2019-03-01 22:00,EST,7.17,P
USGS,02169500,2019-03-01 22:15,EST,7.16,P
USGS,02169500,2019-03-01 22:30,EST,7.18,P
USGS,02169500,2019-03-01 22:45,EST,7.22,P
USGS,02169500,2019-03-01 23:00,EST,7.27,P
USGS,02169500,2019-03-01 23:15,EST,7.33,P
USGS,02169500,2019-03-01 23:30,EST,7.40,P
USGS,02169500,2019-03-01 23:45,EST,7.48,P
USGS,02169500,2019-03-02 00:00,EST,7.58,P
USGS,02169500,2019-03-02 00:15,EST,7.69,P
USGS,02169500,2019-03-02 00:30,EST,7.81,P
USGS,02169500,2019-03-02 00:45,EST,7.93,P
USGS,02169500,2019-03-02 01:00,EST,8.06,P
USGS,02169500,2019-03-02 01:15,EST,8.17,P
USGS,02169500,2019-03-02 01:30,EST,8.29,P
USGS,02169500,2019-03-02 01:45,EST,8.40,P
USGS,02169500,2019-03-02 02:00,EST,8.52,P
USGS,02169500,2019-03-02 02:15,EST,8.61,P
USGS,02169500,2019-03-02 02:30,EST,8.70,P
USGS,02169500,2019-03-02 02:45,EST,8.78,P
USGS,02169500,2019-03-02 03:00,EST,8.84,P
USGS,02169500,2019-03-02 03:15,EST,8.89,P
USGS,02169500,2019-03-02 03:30,EST,8.93,P
USGS,02169500,2019-03-02 03:45,EST,8.95,P
USGS,02169500,2019-03-02 04:00,EST,8.97,P
USGS,02169500,2019-03-02 04:15,EST,8.97,P
USGS,02169500,2019-03-02 04:30,EST,8.96,P
USGS,02169500,2019-03-02 04:45,EST,8.93,P
USGS,02169500,2019-03-02 05:00,EST,8.90,P
USGS,02169500,2019-03-02 05:15,EST,8.85,P
USGS,02169500,2019-03-02 05:30,EST,8.78,P
USGS,02169500,2019-03-02 05:45,EST,8.71,P
USGS,02169500,2019-03-02 06:00,EST,8.63,P
USGS,02169500,2019-03-02 06:15,EST,8.54,P
USGS,02169500,2019-03-02 06:30,EST,8.44,P
USGS,02169500,2019-03-02 06:45,EST,8.33,P
USGS,02169500,2019-03-02 07:00,EST,8.21,P
USGS,02169500,2019-03-02 07:15,EST,8.09,P
USGS,02169500,2019-03-02 07:30,EST,7.96,P
USGS,02169500,2019-03-02 07:45,EST,7.83,P
USGS,02169500,2019-03-02 08:00,EST,7.69,P
USGS,02169500,2019-03-02 08:15,EST,7.54,P
USGS,02169500,2019-03-02 08:30,EST,7.40,P
USGS,02169500,2019-03-02 08:45,EST,7.25,P
USGS,02169500,2019-03-02 09:00,EST,7.10,P
USGS,02169500,2019-03-02 09:15,EST,6.96,P
USGS,02169500,2019-03-02 09:30,EST,6.81,P
USGS,02169500,2019-03-02 09:45,EST,6.67,P
USGS,02169500,2019-03-02 10:00,EST,6.53,P
USGS,02169500,2019-03-02 10:15,EST,6.40,P
USGS,02169500,2019-03-02 10:30,EST,6.27,P
USGS,02169500,2019-03-02 10:45,EST,6.15,P
