Tweets,date,source,image_url,sentiment
NEW: Potential Tropical Cyclone Fourteen triggers # tropical storm warnings and watches in Cuba and Mexico. This system will be a U.S. Gulf Coast threat next week: https://wxch.nl/2y3u1ac pic.twitter.com/qCqjyD6VnI,10/6/2018 17:40,https://twitter.com/weatherchannel/status/1048689395749085185,https://pbs.twimg.com/media/Do2xOHsX4AE90B-.jpg,1
Watch as a weather balloon climbs to the stratosphere! Join @ LisiNearSpace and @ DanielleBanksTV on The Weather Channel app at 5pm.,10/6/2018 16:37,https://twitter.com/weatherchannel/status/1048673669730455552,,0
# Invest91L will likely develop into a # tropical depression or storm Sunday or Monday in the northwestern Caribbean Sea or southern Gulf of Mexico: https://wxch.nl/2NsfoSu pic.twitter.com/JyVMOO6KlF,10/6/2018 15:16,https://twitter.com/weatherchannel/status/1048653282699300864,https://pbs.twimg.com/media/Do2QZGnXsAAEzq6.jpg,0
NEW: # Severe thunderstorm watch issued for eastern Illinois and northern Indiana until 10 p.m. EDT.pic.twitter.com/YDlkLe2nW7,10/6/2018 14:59,https://twitter.com/weatherchannel/status/1048648998414893057,https://pbs.twimg.com/media/Do2MtNaXUAEB16u.jpg,1
"# Tropical cyclone is likely to form in the Arabian Sea this weekend and track towards Oman, Yemen next week: https://wxch.nl/2EbkCCC pic.twitter.com/vWaMvcAfM8",10/6/2018 13:51,https://twitter.com/weatherchannel/status/1048631724027011072,https://pbs.twimg.com/media/Do15CxxU8AAqurs.jpg,0
". @ kericak from @ southfriedtruth is excited about our new show Storm of Suspicion premiering Sunday 8/7c! If you like crime shows and weather, you'll love it!pic.twitter.com/3NUKekWr4m",10/6/2018 12:00,https://twitter.com/weatherchannel/status/1048603797059244033,https://pbs.twimg.com/media/Doxb9omXkAYjEP_.jpg,1
Hurricane # Sergio is expected to make a sharp U-turn toward Baja California next week and may increase moisture into the Southwest: https://wxch.nl/2OFyXLF pic.twitter.com/4BvPSKYhbb,10/6/2018 11:24,https://twitter.com/weatherchannel/status/1048594730366324737,https://pbs.twimg.com/media/Do1UXjgV4AU0hzg.jpg,-1
Who are you rooting for today? # CollegeFootballhttps://twitter.com/AMHQ/status/1048583028963004416 …,10/6/2018 10:39,https://twitter.com/weatherchannel/status/1048583434518634496,,0
"First widespread heavy # snow of the season is expected this weekend into next week in parts of the Rockies, Plains: https://wxch.nl/2DZOdyQ pic.twitter.com/6WLIRfeyj8",10/6/2018 9:57,https://twitter.com/weatherchannel/status/1048572836212867072,https://pbs.twimg.com/media/Do0tw4lXkAImPrw.jpg,-1
Heavy rain will bring the threat of flash # flooding and river flooding to parts of Plains and Upper Midwest into next week: https://wxch.nl/2BXVAV8 pic.twitter.com/fMboGDP5uY,10/6/2018 9:09,https://twitter.com/weatherchannel/status/1048560756763947008,https://pbs.twimg.com/media/Do0tT0mX0AUv7SG.jpg,-1
# Tropical depression or tropical storm will likely form by early next week in the Gulf of Mexico or western Caribbean Sea: https://wxch.nl/2PnxYNe pic.twitter.com/2eC1lj1ABN,10/6/2018 8:21,https://twitter.com/weatherchannel/status/1048548677034237952,https://pbs.twimg.com/media/Do0s01dXoAEexXW.jpg,1
Heavy # rain will bring a threat of flash # flooding and river flooding to the Plains and upper Midwest this weekend into next week: https://wxch.nl/2QymYgb pic.twitter.com/o3yyS3rz6g,10/5/2018 19:33,https://twitter.com/weatherchannel/status/1048355403388469248,https://pbs.twimg.com/media/Dox0_0HX4AABsdk.jpg,-1
