datetime,177233_00060,177234_00065
3/1/2019 0:00,14400,6.83
3/1/2019 0:15,14600,6.88
3/1/2019 0:30,14700,6.92
3/1/2019 0:45,14800,6.95
3/1/2019 1:00,15000,6.99
3/1/2019 1:15,15100,7.02
3/1/2019 1:30,15200,7.05
3/1/2019 1:45,15300,7.08
3/1/2019 2:00,15300,7.1
3/1/2019 2:15,15400,7.13
3/1/2019 2:30,15500,7.14
3/1/2019 2:45,15500,7.16
3/1/2019 3:00,15600,7.17
3/1/2019 3:15,15600,7.18
3/1/2019 3:30,15600,7.18
3/1/2019 3:45,15600,7.17
3/1/2019 4:00,15500,7.15
3/1/2019 4:15,15400,7.12
3/1/2019 4:30,15300,7.09
3/1/2019 4:45,15100,7.04
3/1/2019 5:00,15000,6.99
3/1/2019 5:15,14700,6.93
3/1/2019 5:30,14500,6.86
3/1/2019 5:45,14200,6.78
3/1/2019 6:00,13900,6.7
3/1/2019 6:15,13600,6.61
3/1/2019 6:30,13300,6.52
3/1/2019 6:45,12900,6.42
3/1/2019 7:00,12600,6.32
3/1/2019 7:15,12300,6.23
3/1/2019 7:30,11900,6.13
3/1/2019 7:45,11600,6.03
3/1/2019 8:00,11300,5.94
3/1/2019 8:15,10900,5.85
3/1/2019 8:30,10600,5.76
3/1/2019 8:45,10200,5.67
3/1/2019 9:00,9910,5.59
3/1/2019 9:15,9580,5.5
3/1/2019 9:30,9290,5.42
3/1/2019 9:45,9010,5.34
3/1/2019 10:00,8760,5.27
3/1/2019 10:15,8480,5.19
3/1/2019 10:30,8310,5.14
3/1/2019 10:45,8110,5.08
3/1/2019 11:00,7880,5.01
3/1/2019 11:15,7680,4.95
3/1/2019 11:30,7490,4.89
3/1/2019 11:45,7360,4.85
3/1/2019 12:00,7260,4.82
3/1/2019 12:15,7300,4.83
3/1/2019 12:30,7490,4.89
3/1/2019 12:45,7880,5.01
3/1/2019 13:00,8480,5.19
3/1/2019 13:15,9330,5.43
3/1/2019 13:30,10400,5.72
3/1/2019 13:45,11600,6.02
3/1/2019 14:00,12600,6.32
3/1/2019 14:15,13500,6.58
3/1/2019 14:30,14300,6.81
3/1/2019 14:45,15200,7.07
3/1/2019 15:00,16100,7.31
