,Tweets,date,source,likes,retweet,image_url,sentiment
0,About ready to go here from Magnolia. South Pike hosting Florence. SP gets the ball first.,2018-10-19 19:58:32,https://twitter.com/tconnelley/status/1053435260774633473,0,0,,1
1,Dillion 19 Lake City 0 1st Carolina Forest 9 West Florence 7 1st Marion 12 Cheraw 7 1st Aynor 21 Loris 0 1st All these scores and more on the Friday Night Prep Zone with @ PressboxMJ after the Wilson game.,2018-10-19 19:58:28,https://twitter.com/_WOLH963/status/1053435244441939968,0,0,,1
2,"Someone from Florence, Italy ordered this Luxury Fashion Woman Watch. You too, you can get yours at http://bit.ly/2Ppe6tr .pic.twitter.com/kjsrfKsUuV",2018-10-19 19:58:06,https://twitter.com/TB62405288/status/1053435149218656256,0,0,https://pbs.twimg.com/media/Dp6NrpqWsAI5k2C.jpg,0
3,"Tony Alsup, el hombre que rescató a 64 mascotas del huracán Florence con un autobús escolar... https://www.cinconoticias.com/tony-alsup-rescato-64-mascotas-huracan-florence/ …",2018-10-19 19:58:04,https://twitter.com/LaCronologia/status/1053435140498690059,0,0,,0
4,The incident happened on Third Loop Road in Florence on Friday evening. https://bit.ly/2NQPGr8,2018-10-19 19:57:53,https://twitter.com/WBTWNews13/status/1053435094998888448,0,0,,0
5,아마 파티가 끝나고 오랜 시간이 지나도.... 당신을 누구도 잊지 못할 것 같아요.,2018-10-19 19:57:04,https://twitter.com/With_Florence/status/1053434889482031104,0,0,,0
6,"Mason Garcia has a 50-yard run, then David Legette adds a 25-yard run and 2-yard run -- and scores to give Carolina Forest a 9-7 lead over West Florence",2018-10-19 19:55:51,https://twitter.com/SportsinPeeDee/status/1053434583746797569,0,0,,0
7,,2018-10-19 19:55:15,https://twitter.com/ComunitaQueenIT/status/1053434434895167489,2,0,,0
8,"Carolina Forest 9, West Florence 7, after David Legette’s 2-yard TD run with 3:26 left in Q1. Big play was a Mason Garcia 50-yard rush on a QB keeper.",2018-10-19 19:54:59,https://twitter.com/iguerin/status/1053434365890490368,0,0,,0
9,FEMA bringing in temporary housing units for Florence victims https://abc11.com/4519606/,2018-10-19 19:54:30,https://twitter.com/ABC11_WTVD/status/1053434244217868288,3,3,,0
10,Saw Florence + the machine recently and had the most wonderful night. Thank you to @ flo_tweet and the band for sharing their gifts with us all.,2018-10-19 19:53:56,https://twitter.com/Just_a_boat/status/1053434101011746816,1,0,,1
11,Reggion Bennett 61 pass from Jordan Jones(Benton kick) Trinity-Byrnes 14 Florence Christian 0 2:34 1st @ EndZoneWPDE @ _WOLH963 @ SportsinPeeDee @ WBTWTheBlitz,2018-10-19 19:53:53,https://twitter.com/TeamArwood/status/1053434087959072768,0,0,,0
12,"I-Team: One month after Florence, payouts top $1 billion - and counting https://abc11.com/4519515/",2018-10-19 19:53:51,https://twitter.com/ABC11_WTVD/status/1053434080589684737,0,2,,1
13,The Titans intercept a Florence Christian pass to regain possession around the Eagles 40 yard line. Jordan Jones completes a long pass to Reggion Bennett for the TD. Benton’s PAT is good and TBCS leads 14-0 with 2:34 left in 1Q. # GoTitanspic.twitter.com/hYaniXrcT9,2018-10-19 19:53:42,https://twitter.com/tbcs_titan_club/status/1053434042106986496,1,0,https://pbs.twimg.com/media/Dp6MrJlX4AY6L9L.jpg,1
14,I entered on instagram I’m hoping I could hear back so I could win my way in to the Florence and Machine concert,2018-10-19 19:53:10,https://twitter.com/ArcticMonkey698/status/1053433907788439553,1,0,,1
15,"Michael, Florence and Alberto made this Virginia's deadliest hurricane season in 15 years http://dlvr.it/QntzRL pic.twitter.com/PcSqWU7Us4",2018-10-19 19:53:04,https://twitter.com/GoDanRiver/status/1053433882119352320,1,1,https://pbs.twimg.com/media/Dp6MiGyVAAAR7nq.jpg,0
16,Joe LeVach 1 yard TD run. Kick is good. Florence takes a 14-12 lead. 4:47 left in second. # BCTsports,2018-10-19 19:53:02,https://twitter.com/Jacobguz24/status/1053433876197056512,5,3,,1
17,Shoutout to the family (parents plus 6 adult children/spouses) who all came to this florence+the machine concert together,2018-10-19 19:52:41,https://twitter.com/daxxglax/status/1053433789341466624,2,0,,1
18,"Whiteville, NC. This poor girl lost her home and family in Hurricane Florence, was adopted and then returned for eating some of her adopter's pork chop. Her life is now in danger. Please foster or adopt! Please share to help save her life. River has... https://www.facebook.com/permalink.php?story_fbid=1010077055838259&id=545386392307330 …",2018-10-19 19:52:27,https://twitter.com/pah210/status/1053433729111212033,1,1,,-1
19,"Whiteville, NC. This poor girl lost her home and family in Hurricane Florence, was adopted and then returned for eating some of her adopter's pork chop. Her life is now in danger. Please foster or adopt! Please share to help save her life. River has... https://www.facebook.com/pat.animalcrossposter/posts/1938875422825421 …",2018-10-19 19:52:15,https://twitter.com/pah210/status/1053433677185724422,0,1,,-1
20,"Lana, Florence, and Marina uniting to defeat Azealia Banks pic.twitter.com/KZffAQkRiN",2018-10-19 19:52:08,https://twitter.com/hiimstephan/status/1053433648643534850,669,241,,0
21,Florence’s concert smells like flowers // I bet Troye’s smells like poppers,2018-10-19 19:52:01,https://twitter.com/TroyJosephDavis/status/1053433618364854272,7,2,,0
22,I went to an event today @ alexcox_94 and for the warm up we had to sing florence's you've got the love. It was amazing.,2018-10-19 19:51:50,https://twitter.com/Imogenduffin/status/1053433574353985537,3,0,,1
23,Donate supplies to a homeless shelter/soup kitchen or collect donations for families suffering from natural disasters. Hurricane Florence hit almost 6 weeks ago and people are still living out of hotels waiting for their homes to be fixed! https://twitter.com/RachelleSwannie/status/1053386879192580096 …,2018-10-19 19:51:46,https://twitter.com/iamashlxy/status/1053433555907477506,3,0,,1
24,SAME BUT WITH FLORENCE,2018-10-19 19:50:58,https://twitter.com/Austistin/status/1053433355096784896,1,0,,0
25,Cooper Wallace scores on 15-yard TD run. West Florence leads Carolina Forest 7-2 with 4:28 left 1Q,2018-10-19 19:50:54,https://twitter.com/SportsinPeeDee/status/1053433339242336256,2,2,,0
26,"West Florence 7, Carolina Forest 2, after Cooper Wallace’s 15-yard TD run with 4:28 to go in Q1. Wallace broke four tackles up the gut to reach the end zone.",2018-10-19 19:50:27,https://twitter.com/iguerin/status/1053433226981765120,0,1,,0
27,"Book Your Session Today # TMMGRecordingStudios at our Florence, SC Location (843) 687-1264 http://ow.ly/Z848F",2018-10-19 19:50:11,https://twitter.com/DjJWattsLive/status/1053433160355188736,0,0,,0
28,"# WBTWTheBlitz Area high school football games are underway! Some teams that are playing tonight include: Carolina Forest at West Florence for News13's Game of the Week, Hartsville at North Myrtle Beach, and South Florence at Socastee, where Socastee's... https://bit.ly/2yKWxga",2018-10-19 19:50:05,https://twitter.com/WBTWNews13/status/1053433134614757376,0,0,,-1
29,"The Titans hold and get the ball back. Trinity-Byrnes goes on a long drive, led by the running of Nick Jones. He breaks several tackles and scores on a 22 yard run. TBCS leads Florence Christian 7-0! # GoTitanspic.twitter.com/8hGn30pekY",2018-10-19 19:49:49,https://twitter.com/tbcs_titan_club/status/1053433064498647040,0,0,https://pbs.twimg.com/media/Dp6LyAqWoAAdbtS.jpg,-1
30,Great full week since Florence. # homecomingsbhs @ SBHighSchool_ncpic.twitter.com/dZp23rXHmU,2018-10-19 19:49:39,https://twitter.com/thefixerED/status/1053433023931269121,4,0,https://pbs.twimg.com/media/Dp6LvMHW4AMhpqi.jpg,1
31,SOUTH FLORENCE 7 SOCASTEE 0 Q1,2018-10-19 19:48:36,https://twitter.com/EndZoneWPDE/status/1053432758968770560,0,1,,0
32,VIBRATES FLORENCE AND THE MACHINE TONIGHT,2018-10-19 19:48:32,https://twitter.com/persphoneinhell/status/1053432744653586443,6,0,,0
