,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,class,percentile,percent_median,percent_mean,url
0,2043433,"CURRITUCK SOUND ON EAST BANK AT COROLLA, NC",36.3744,-75.8344,3010205,EST,0,,0000-00-00 00:00:00,0.59,ft,2019-04-16 14:45:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02043433
1,2053200,"POTECASI CREEK NEAR UNION, NC",36.3708,-77.0256,3010204,EST,357,cfs,2019-04-16 14:00:00,7.37,ft,2019-04-16 14:00:00,6,80.28,283.33,131.89,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02053200
2,2053500,"AHOSKIE CREEK AT AHOSKIE, NC",36.2803,-76.9994,3010203,EST,94.9,cfs,2019-04-16 14:30:00,3.35,ft,2019-04-16 14:30:00,6,78.06,334.15,95.57,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02053500
3,2068500,"DAN RIVER NEAR FRANCISCO, NC",36.515,-80.3031,3010103,EST,526,cfs,2019-04-16 14:30:00,2.57,ft,2019-04-16 14:30:00,7,91.42,228.7,189.69,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02068500
4,2069000,"DAN RIVER AT PINE HALL, NC",36.3193,-80.05,3010103,EST,1460,cfs,2019-04-16 14:15:00,5.04,ft,2019-04-16 14:15:00,0,80.09,256.82,84.65,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02069000
5,2070500,"MAYO RIVER NEAR PRICE, NC",36.5339,-79.9914,3010103,EST,789,cfs,2019-04-16 14:45:00,2.54,ft,2019-04-16 14:45:00,7,92.65,234.47,189.35,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02070500
6,2071000,"DAN RIVER NEAR WENTWORTH, NC",36.4125,-79.8261,3010103,EST,2770,cfs,2019-04-16 14:45:00,4.75,ft,2019-04-16 14:45:00,6,82.67,222.49,134.39,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02071000
7,2074000,"SMITH RIVER AT EDEN, NC",36.5256,-79.7656,3010103,EST,2630,cfs,2019-04-16 14:00:00,5.05,ft,2019-04-16 14:00:00,7,92.73,409.66,244.01,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02074000
8,2077200,"HYCO CREEK NEAR LEASBURG, NC",36.3978,-79.1967,3010104,EST,80.4,cfs,2019-04-16 14:45:00,25.24,ft,2019-04-16 14:45:00,6,78.25,309.23,68.84,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02077200
9,2077280,"HYCO LAKE AT DAM NR ROXBORO, NC",36.5117,-79.0472,3010104,EST,0,,0000-00-00 00:00:00,10.8,ft,2019-04-16 14:45:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02077280
10,2077303,"HYCO R BL ABAY D NR MCGEHEES MILL, NC",36.5225,-78.9975,3010104,EST,739,cfs,2019-04-16 14:45:00,6.13,ft,2019-04-16 14:45:00,6,86.13,829.87,229.05,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02077303
11,2077670,"MAYO CR NR BETHEL HILL, NC",36.5408,-78.8719,3010104,EST,193,cfs,2019-04-16 14:45:00,3.67,ft,2019-04-16 14:45:00,7,92.03,459.52,309.84,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02077670
12,2080500,"ROANOKE RIVER AT ROANOKE RAPIDS, NC",36.46,-77.6336,3010107,EST,7910,cfs,2019-04-16 14:45:00,5.43,ft,2019-04-16 14:45:00,5,38.95,88.83,71.07,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02080500
13,2081000,"ROANOKE RIVER NEAR SCOTLAND NECK, NC",36.2092,-77.3839,3010107,EST,0,,0000-00-00 00:00:00,14.71,ft,2019-04-16 14:00:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02081000
14,2081022,"ROANOKE RIVER NEAR OAK CITY, NC",36.0136,-77.2153,3010107,EST,1850,cfs,2007-09-16 23:45:00,14.65,ft,2019-04-16 14:45:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02081022
15,2081028,"ROANOKE RIVER AT HAMILTON, NC",35.9475,-77.2025,3010107,EST,0,,0000-00-00 00:00:00,12.92,ft,2019-04-16 14:30:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02081028
16,2081054,"ROANOKE RIVER AT WILLIAMSTON, NC",35.8597,-77.0403,3010107,EST,1530,cfs,2007-11-12 23:45:00,10.17,ft,2019-04-16 14:00:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02081054
17,2081094,"ROANOKE RIVER AT JAMESVILLE, NC",35.8131,-76.8928,3010107,EST,0,,0000-00-00 00:00:00,2.76,ft,2019-04-16 14:00:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02081094
18,2081500,"TAR RIVER NEAR TAR RIVER, NC",36.1942,-78.5831,3020101,EST,287,cfs,2019-04-16 14:30:00,3.26,ft,2019-04-16 14:30:00,6,76.0,298.96,89.8,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02081500
19,2081747,"TAR R AT US 401 AT LOUISBURG, NC",36.0931,-78.2961,3020101,EST,1830,cfs,2019-04-16 14:45:00,11.74,ft,2019-04-16 14:45:00,6,84.25,618.24,241.92,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02081747
20,2081942,"TAR RIVER AT NC-581 NEAR SPRING HOPE, NC",35.8821,-78.0895,3020101,EST,5790,cfs,2019-04-16 14:15:00,15.41,ft,2019-04-16 14:15:00,0,85.71,1490.35,940.44,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02081942
21,2082585,"TAR RIVER AT NC 97 AT ROCKY MOUNT, NC",35.9547,-77.7872,3020101,EST,5620,cfs,2019-04-16 14:00:00,15.15,ft,2019-04-16 14:00:00,7,96.35,818.05,439.34,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02082585
22,2082770,"SWIFT CREEK AT HILLIARDSTON, NC",36.1122,-77.92,3020101,EST,916,cfs,2019-04-16 13:45:00,7.59,ft,2019-04-16 13:45:00,7,93.6,721.26,345.54,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02082770
23,2082950,"LITTLE FISHING CREEK NEAR WHITE OAK, NC",36.1833,-77.8761,3020102,EST,875,cfs,2019-04-16 14:00:00,8.17,ft,2019-04-16 14:00:00,7,91.5,601.37,314.51,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02082950
24,2083000,"FISHING CREEK NEAR ENFIELD, NC",36.1506,-77.6931,3020102,EST,2330,cfs,2019-04-16 14:00:00,13.27,ft,2019-04-16 14:00:00,7,94.67,552.13,333.27,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02083000
25,2083500,"TAR RIVER AT TARBORO, NC",35.8944,-77.5331,3020103,EST,7590,cfs,2019-04-16 14:30:00,15.85,ft,2019-04-16 14:30:00,7,91.06,332.17,229.76,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02083500
26,2084000,"TAR RIVER AT GREENVILLE, NC",35.6167,-77.3728,3020103,EST,7630,cfs,2019-04-16 14:00:00,11.45,ft,2019-04-16 14:00:00,0,90.63,345.25,229.24,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02084000
27,2084160,"CHICOD CR AT SR1760 NEAR SIMPSON, NC",35.5617,-77.2308,3020103,EST,62.5,cfs,2019-04-16 14:45:00,8.43,ft,2019-04-16 14:45:00,5,72.85,334.22,79.34,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02084160
