,station number,datetime,Gage height (ft),Discharge (ft^3/S),176834_00045
0,2130561,2018-11-20 00:00,78.8,34700,0.0
1,2130561,2018-11-20 00:15,78.75,34700,0.0
2,2130561,2018-11-20 00:30,78.73,34700,0.0
3,2130561,2018-11-20 00:45,78.72,34800,0.0
4,2130561,2018-11-20 01:00,78.69,34900,0.0
5,2130561,2018-11-20 01:15,78.67,35200,0.0
6,2130561,2018-11-20 01:30,78.64,35000,0.0
7,2130561,2018-11-20 01:45,78.6,34500,0.0
8,2130561,2018-11-20 02:00,78.58,34600,0.0
9,2130561,2018-11-20 02:15,78.56,34500,0.0
10,2130561,2018-11-20 02:30,78.51,34200,0.0
11,2130561,2018-11-20 02:45,78.49,34400,0.0
12,2130561,2018-11-20 03:00,78.47,34300,0.0
13,2130561,2018-11-20 03:15,78.43,34000,0.0
14,2130561,2018-11-20 03:30,78.41,34300,0.0
15,2130561,2018-11-20 03:45,78.39,34300,0.0
16,2130561,2018-11-20 04:00,78.36,34100,0.0
17,2130561,2018-11-20 04:15,78.33,34100,0.0
18,2130561,2018-11-20 04:30,78.32,34200,0.0
19,2130561,2018-11-20 04:45,78.28,33900,0.0
20,2130561,2018-11-20 05:00,78.26,34000,0.0
21,2130561,2018-11-20 05:15,78.24,34100,0.0
22,2130561,2018-11-20 05:30,78.2,33600,0.0
23,2130561,2018-11-20 05:45,78.18,33800,0.0
24,2130561,2018-11-20 06:00,78.15,33600,0.0
25,2130561,2018-11-20 06:15,78.12,33400,0.0
26,2130561,2018-11-20 06:30,78.09,33500,0.0
27,2130561,2018-11-20 06:45,78.06,33300,0.0
28,2130561,2018-11-20 07:00,78.03,33200,0.0
29,2130561,2018-11-20 07:15,78.01,33300,0.0
30,2130561,2018-11-20 07:30,77.97,33100,0.0
31,2130561,2018-11-20 07:45,77.94,33000,0.0
32,2130561,2018-11-20 08:00,77.91,32900,0.0
33,2130561,2018-11-20 08:15,77.88,32700,0.0
34,2130561,2018-11-20 08:30,77.84,32700,0.0
35,2130561,2018-11-20 08:45,77.81,32600,0.0
36,2130561,2018-11-20 09:00,77.77,32400,0.0
37,2130561,2018-11-20 09:15,77.74,32300,0.0
38,2130561,2018-11-20 09:30,77.71,32400,0.0
39,2130561,2018-11-20 09:45,77.65,31900,0.0
40,2130561,2018-11-20 10:00,77.63,32100,0.0
41,2130561,2018-11-20 10:15,77.6,32000,0.0
42,2130561,2018-11-20 10:30,77.56,31800,0.0
43,2130561,2018-11-20 10:45,77.51,31800,0.0
44,2130561,2018-11-20 11:00,77.47,31500,0.0
45,2130561,2018-11-20 11:15,77.42,31100,0.0
46,2130561,2018-11-20 11:30,77.38,31000,0.0
47,2130561,2018-11-20 11:45,77.33,30900,0.0
48,2130561,2018-11-20 12:00,77.3,31000,0.0
49,2130561,2018-11-20 12:15,77.25,30900,0.0
50,2130561,2018-11-20 12:30,77.22,30900,0.0
51,2130561,2018-11-20 12:45,77.17,30800,0.0
52,2130561,2018-11-20 13:00,77.13,30600,0.0
53,2130561,2018-11-20 13:15,77.07,30400,0.0
54,2130561,2018-11-20 13:30,77.02,30000,0.0
55,2130561,2018-11-20 13:45,76.98,30000,0.0
56,2130561,2018-11-20 14:00,76.93,29800,0.0
57,2130561,2018-11-20 14:15,76.9,30100,0.0
58,2130561,2018-11-20 14:30,76.84,29900,0.0
59,2130561,2018-11-20 14:45,76.8,29800,0.0
60,2130561,2018-11-20 15:00,76.74,29600,0.0
61,2130561,2018-11-20 15:15,76.7,29300,0.0
62,2130561,2018-11-20 15:30,76.65,29400,0.0
63,2130561,2018-11-20 15:45,76.61,29300,0.0
64,2130561,2018-11-20 16:00,76.57,29500,0.0
65,2130561,2018-11-20 16:15,76.52,29200,0.0
66,2130561,2018-11-20 16:30,76.47,29100,0.0
67,2130561,2018-11-20 16:45,76.43,29000,0.0
68,2130561,2018-11-20 17:00,76.37,28700,0.0
69,2130561,2018-11-20 17:15,76.33,28700,0.0
70,2130561,2018-11-20 17:30,76.29,28800,0.0
71,2130561,2018-11-20 17:45,76.24,28500,0.0
72,2130561,2018-11-20 18:00,76.19,28600,0.0
73,2130561,2018-11-20 18:15,76.15,28500,0.0
74,2130561,2018-11-20 18:30,76.09,28100,0.0
75,2130561,2018-11-20 18:45,76.06,28300,0.0
76,2130561,2018-11-20 19:00,76.0,28100,0.0
77,2130561,2018-11-20 19:15,75.96,28000,0.0
78,2130561,2018-11-20 19:30,75.9,27900,0.0
79,2130561,2018-11-20 19:45,75.85,27600,0.0
80,2130561,2018-11-20 20:00,75.82,27900,0.0
81,2130561,2018-11-20 20:15,75.76,27500,0.0
82,2130561,2018-11-20 20:30,75.71,27600,0.0
83,2130561,2018-11-20 20:45,75.66,27500,0.0
84,2130561,2018-11-20 21:00,75.62,27300,0.0
85,2130561,2018-11-20 21:15,75.57,27300,0.0
86,2130561,2018-11-20 21:30,75.52,27200,0.0
87,2130561,2018-11-20 21:45,75.48,27300,0.0
88,2130561,2018-11-20 22:00,75.43,27100,0.0
89,2130561,2018-11-20 22:15,75.39,27100,0.0
90,2130561,2018-11-20 22:30,75.34,27000,0.0
91,2130561,2018-11-20 22:45,75.3,26800,0.0
92,2130561,2018-11-20 23:00,75.25,26700,0.0
93,2130561,2018-11-20 23:15,75.21,26600,0.0
94,2130561,2018-11-20 23:30,75.15,26400,0.0
95,2130561,2018-11-20 23:45,75.1,26300,0.0
96,2130561,2018-11-21 00:00,75.07,26500,0.0
97,2130561,2018-11-21 00:15,75.01,26200,0.0
98,2130561,2018-11-21 00:30,74.95,26000,0.0
99,2130561,2018-11-21 00:45,74.9,26000,0.0
100,2130561,2018-11-21 01:00,74.86,25800,0.0
101,2130561,2018-11-21 01:15,74.81,25800,0.0
102,2130561,2018-11-21 01:30,74.76,25800,0.0
103,2130561,2018-11-21 01:45,74.7,25600,0.0
104,2130561,2018-11-21 02:00,74.66,25500,0.0
105,2130561,2018-11-21 02:15,74.6,25300,0.0
106,2130561,2018-11-21 02:30,74.54,25100,0.0
107,2130561,2018-11-21 02:45,74.5,25300,0.0
108,2130561,2018-11-21 03:00,74.44,24900,0.0
109,2130561,2018-11-21 03:15,74.39,24900,0.0
110,2130561,2018-11-21 03:30,74.33,24800,0.0
111,2130561,2018-11-21 03:45,74.27,24500,0.0
112,2130561,2018-11-21 04:00,74.21,24400,0.0
113,2130561,2018-11-21 04:15,74.16,24300,0.0
114,2130561,2018-11-21 04:30,74.11,24300,0.0
115,2130561,2018-11-21 04:45,74.05,24200,0.0
116,2130561,2018-11-21 05:00,73.99,24100,0.0
117,2130561,2018-11-21 05:15,73.92,23700,0.0
118,2130561,2018-11-21 05:30,73.87,23700,0.0
119,2130561,2018-11-21 05:45,73.83,23800,0.0
120,2130561,2018-11-21 06:00,73.77,23700,0.0
121,2130561,2018-11-21 06:15,73.71,23800,0.0
122,2130561,2018-11-21 06:30,73.66,23700,0.0
123,2130561,2018-11-21 06:45,73.61,23500,0.0
124,2130561,2018-11-21 07:00,73.56,23500,0.0
125,2130561,2018-11-21 07:15,73.51,23500,0.0
126,2130561,2018-11-21 07:30,73.46,23500,0.0
127,2130561,2018-11-21 07:45,73.42,23500,0.0
128,2130561,2018-11-21 08:00,73.36,23300,0.0
129,2130561,2018-11-21 08:15,73.32,23300,0.0
130,2130561,2018-11-21 08:30,73.27,23300,0.0
131,2130561,2018-11-21 08:45,73.23,23200,0.0
132,2130561,2018-11-21 09:00,73.17,23100,0.0
133,2130561,2018-11-21 09:15,73.13,23000,0.0
134,2130561,2018-11-21 09:30,73.08,22900,0.0
135,2130561,2018-11-21 09:45,73.04,22900,0.0
136,2130561,2018-11-21 10:00,72.99,22900,0.0
137,2130561,2018-11-21 10:15,72.94,22700,0.0
138,2130561,2018-11-21 10:30,72.9,22700,0.0
139,2130561,2018-11-21 10:45,72.85,22500,0.0
140,2130561,2018-11-21 11:00,72.8,22500,0.0
141,2130561,2018-11-21 11:15,72.74,22200,0.0
142,2130561,2018-11-21 11:30,72.7,22200,0.0
143,2130561,2018-11-21 11:45,72.64,22000,0.0
144,2130561,2018-11-21 12:00,72.59,21900,0.0
145,2130561,2018-11-21 12:15,72.54,21900,0.0
146,2130561,2018-11-21 12:30,72.48,21600,0.0
147,2130561,2018-11-21 12:45,72.42,21500,0.0
148,2130561,2018-11-21 13:00,72.36,21300,0.0
149,2130561,2018-11-21 13:15,72.31,21200,0.0
150,2130561,2018-11-21 13:30,72.25,21100,0.0
151,2130561,2018-11-21 13:45,72.2,21100,0.0
152,2130561,2018-11-21 14:00,72.13,20900,0.0
153,2130561,2018-11-21 14:15,72.07,20700,0.0
154,2130561,2018-11-21 14:30,72.01,20600,0.0
155,2130561,2018-11-21 14:45,71.95,20400,0.0
156,2130561,2018-11-21 15:00,71.89,20400,0.0
157,2130561,2018-11-21 15:15,71.83,20300,0.0
158,2130561,2018-11-21 15:30,71.76,20100,0.0
159,2130561,2018-11-21 15:45,71.7,20000,0.0
160,2130561,2018-11-21 16:00,71.65,20000,0.0
161,2130561,2018-11-21 16:15,71.57,19700,0.0
162,2130561,2018-11-21 16:30,71.51,19700,0.0
163,2130561,2018-11-21 16:45,71.45,19600,0.0
164,2130561,2018-11-21 17:00,71.39,19500,0.0
165,2130561,2018-11-21 17:15,71.33,19600,0.0
166,2130561,2018-11-21 17:30,71.28,19700,0.0
167,2130561,2018-11-21 17:45,71.21,19500,0.0
168,2130561,2018-11-21 18:00,71.16,19500,0.0
169,2130561,2018-11-21 18:15,71.1,19400,0.0
170,2130561,2018-11-21 18:30,71.05,19400,0.0
171,2130561,2018-11-21 18:45,70.99,19400,0.0
172,2130561,2018-11-21 19:00,70.95,19400,0.0
