,station number,datetime,Gage height (ft)
0,2172040,2016-10-06 00:00,17.14
1,2172040,2016-10-06 00:15,17.2
2,2172040,2016-10-06 00:30,17.24
3,2172040,2016-10-06 00:45,17.3
4,2172040,2016-10-06 01:00,17.34
5,2172040,2016-10-06 01:15,17.36
6,2172040,2016-10-06 01:30,17.38
7,2172040,2016-10-06 01:45,17.4
8,2172040,2016-10-06 02:00,17.45
9,2172040,2016-10-06 02:15,17.5
10,2172040,2016-10-06 02:30,17.54
11,2172040,2016-10-06 02:45,17.58
12,2172040,2016-10-06 03:00,17.62
13,2172040,2016-10-06 03:15,17.63
14,2172040,2016-10-06 03:30,17.64
15,2172040,2016-10-06 03:45,17.62
16,2172040,2016-10-06 04:00,17.6
17,2172040,2016-10-06 04:15,17.55
18,2172040,2016-10-06 04:30,17.48
19,2172040,2016-10-06 04:45,17.39
20,2172040,2016-10-06 05:00,17.32
21,2172040,2016-10-06 05:15,17.23
22,2172040,2016-10-06 05:30,17.17
23,2172040,2016-10-06 05:45,17.11
24,2172040,2016-10-06 06:00,17.04
25,2172040,2016-10-06 06:15,16.95
26,2172040,2016-10-06 06:30,16.87
27,2172040,2016-10-06 06:45,16.78
28,2172040,2016-10-06 07:00,16.68
29,2172040,2016-10-06 07:15,16.6
30,2172040,2016-10-06 07:30,16.54
31,2172040,2016-10-06 07:45,16.47
32,2172040,2016-10-06 08:00,16.42
33,2172040,2016-10-06 08:15,16.38
34,2172040,2016-10-06 08:30,16.34
35,2172040,2016-10-06 08:45,16.31
36,2172040,2016-10-06 09:00,16.3
37,2172040,2016-10-06 09:15,16.3
38,2172040,2016-10-06 09:30,16.32
39,2172040,2016-10-06 09:45,16.35
40,2172040,2016-10-06 10:00,16.41
41,2172040,2016-10-06 10:15,16.49
42,2172040,2016-10-06 10:30,16.58
43,2172040,2016-10-06 10:45,16.66
44,2172040,2016-10-06 11:00,16.74
45,2172040,2016-10-06 11:15,16.81
46,2172040,2016-10-06 11:30,16.89
47,2172040,2016-10-06 11:45,16.94
48,2172040,2016-10-06 12:00,17.03
49,2172040,2016-10-06 12:15,17.07
50,2172040,2016-10-06 12:30,17.15
51,2172040,2016-10-06 12:45,17.21
52,2172040,2016-10-06 13:00,17.29
53,2172040,2016-10-06 13:15,17.36
54,2172040,2016-10-06 13:30,17.44
55,2172040,2016-10-06 13:45,17.52
56,2172040,2016-10-06 14:00,17.59
57,2172040,2016-10-06 14:15,17.65
58,2172040,2016-10-06 14:30,17.71
59,2172040,2016-10-06 14:45,17.78
60,2172040,2016-10-06 15:00,17.83
61,2172040,2016-10-06 15:15,17.9
62,2172040,2016-10-06 15:30,17.95
63,2172040,2016-10-06 15:45,18.0
64,2172040,2016-10-06 16:00,18.04
65,2172040,2016-10-06 16:15,18.07
66,2172040,2016-10-06 16:30,18.08
67,2172040,2016-10-06 16:45,18.08
68,2172040,2016-10-06 17:00,18.06
69,2172040,2016-10-06 17:15,18.02
70,2172040,2016-10-06 17:30,17.95
71,2172040,2016-10-06 17:45,17.88
72,2172040,2016-10-06 18:00,17.79
73,2172040,2016-10-06 18:15,17.71
74,2172040,2016-10-06 18:30,17.63
75,2172040,2016-10-06 18:45,17.57
76,2172040,2016-10-06 19:00,17.48
77,2172040,2016-10-06 19:15,17.44
78,2172040,2016-10-06 19:30,17.34
79,2172040,2016-10-06 19:45,17.27
80,2172040,2016-10-06 20:00,17.2
81,2172040,2016-10-06 20:15,17.13
82,2172040,2016-10-06 20:30,17.08
83,2172040,2016-10-06 20:45,17.02
84,2172040,2016-10-06 21:00,16.97
85,2172040,2016-10-06 21:15,16.92
86,2172040,2016-10-06 21:30,16.88
87,2172040,2016-10-06 21:45,16.85
88,2172040,2016-10-06 22:00,16.84
89,2172040,2016-10-06 22:15,16.84
90,2172040,2016-10-06 22:30,16.84
91,2172040,2016-10-06 22:45,16.86
92,2172040,2016-10-06 23:00,16.89
